 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
22,73,1,1,0,0,0,0,0,0,0,0,0,0,0,27397.26027,73,0,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,13698.63014,13698.63014,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0,0,0,0,0,0,0,0,SSH-Patator
443,60889309,16,12,768,3975,455,0,48,121.3825907,2939,0,331.25,865.2209518,77.89544795,0.459850842,2255159.593,4229626.165,10000000,24,60900000,4059287.267,5075264.779,10100000,134,60800000,5530366.545,5218646.62,10100000,1247,0,0,0,0,520,392,0.26277191,0.197078932,0,2939,163.5517241,568.0022376,322626.5419,0,0,0,1,0,0,0,0,0,169.3928571,48,331.25,520,0,0,0,0,0,0,16,768,12,3975,29200,114,3,32,91769.33333,95060.16034,285543,50482,10000000,13006.58908,10000000,9996330,BENIGN
21,224,2,1,14,0,14,0,7,9.899494937,0,0,0,0,62500,13392.85714,112,43.84062043,143,81,224,224,0,224,224,0,0,0,0,0,1,0,0,0,64,20,8928.571429,4464.285714,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0,0,0,FTP-Patator
53,747,1,1,53,69,53,53,53,0,69,69,69,0,163319.9465,2677.376171,747,0,747,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1338.688086,1338.688086,53,69,58.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,87.5,53,69,20,0,0,0,0,0,0,1,53,1,69,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
53,37913,2,2,64,228,32,32,32,0,114,114,114,0,7701.843695,105.5047081,12637.66667,21883.01858,37906,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,40,40,52.75235407,52.75235407,32,114,64.8,44.91324972,2017.2,0,0,0,0,0,0,0,0,1,81,32,114,40,0,0,0,0,0,0,2,64,2,228,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
80,32924811,203,104,43951,72198,602,0,216.5073892,228.6511756,1068,0,694.2115385,362.7002473,3527.704381,9.32427524,107597.4216,271634.0213,1276162,4,32900000,162982.1337,320844.0127,1276162,699,32900000,319657.165,417787.2712,1276882,4,0,0,0,0,6504,3336,6.165563107,3.158712134,0,1068,377.1071429,360.7196005,130118.6302,0,0,0,1,0,0,0,0,0,378.3355049,216.5073892,694.2115385,6504,0,0,0,0,0,0,203,43951,104,72198,29200,1174,101,32,0,0,0,0,0,0,0,0,Web Attack � Brute Force
80,9810809,4,4,383,370,383,0,95.75,191.5,370,0,92.5,185,76.75208028,0.815427148,1401544.143,2393359.491,5004577,119,4806232,1602077.333,2772503.875,4803489,877,9810690,3270230,2832858.92,5005123,1180,0,0,0,0,136,136,0.407713574,0.407713574,0,383,83.66666667,166.0527025,27573.5,0,0,0,1,0,0,0,0,1,94.125,95.75,92.5,136,0,0,0,0,0,0,4,383,4,370,29200,235,1,32,0,0,0,0,0,0,0,0,Web Attack � Brute Force
22,11663401,21,33,2008,2745,640,0,95.61904762,140.0451628,976,0,83.18181818,217.2857356,407.514069,4.629867395,220064.1698,597316.8903,2224173,3,10200000,508134.5,883927.7695,2298829,932,11700000,364476.9375,737952.8348,2224173,3,0,0,0,0,680,1064,1.800503987,2.829363408,0,976,86.41818182,188.2012015,35419.69226,0,0,0,1,0,0,0,0,1,88.01851852,95.61904762,83.18181818,680,0,0,0,0,0,0,21,2008,33,2745,29200,247,16,32,0,0,0,0,0,0,0,0,SSH-Patator
443,4134046,5,1,135,46,46,6,27,20.1246118,46,46,46,0,43.78277358,1.45136266,826809.2,1708402.446,3879496,3,4134046,1033511.5,1900822.044,3879496,3,0,0,0,0,0,1,0,0,0,100,20,1.209468884,0.241893777,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27,46,100,0,0,0,0,0,0,5,135,1,46,258,219,4,20,0,0,0,0,0,0,0,0,BENIGN
53,30819,1,1,56,72,56,56,56,0,72,72,72,0,4153.282066,64.89503229,30819,0,30819,30819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,32.44751614,32.44751614,56,72,61.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,92,56,72,20,0,0,0,0,0,0,1,56,1,72,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
443,713915,15,14,2612,8197,1380,0,174.1333333,370.4240556,2860,0,585.5,876.1906844,15140.4579,40.62108234,25496.96429,41213.35121,154654,1,713915,50993.92857,59860.00558,170402,3,627091,48237.76923,79154.47777,209445,3,0,0,0,0,312,292,21.01090466,19.61017768,0,2860,360.3,676.219825,457273.2517,0,0,0,1,0,0,0,0,0,372.7241379,174.1333333,585.5,312,0,0,0,0,0,0,15,2612,14,8197,8192,395,14,20,0,0,0,0,0,0,0,0,BENIGN
80,84303921,8,7,56,11607,20,0,7,5.656854249,5840,0,1658.142857,2127.59774,138.3446922,0.177927667,6021708.643,21400000,80300000,1,82500000,11800000,30200000,80300000,1,1845925,307654.1667,753054.4374,1844820,4,0,0,0,0,172,152,0.094894756,0.083032911,0,5840,729.3125,1589.473738,2526426.763,0,0,0,0,1,0,0,0,0,777.9333333,7,1658.142857,172,0,0,0,0,0,0,8,56,7,11607,256,229,6,20,2150380,0,2150380,2150380,80300000,0,80300000,80300000,DDoS
90,55,1,1,2,6,2,2,2,0,6,6,6,0,145454.5455,36363.63636,55,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,18181.81818,18181.81818,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan
52928,31,1,1,6,6,6,6,6,0,6,6,6,0,387096.7742,64516.12903,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,32258.06452,32258.06452,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
8080,213004,5,4,212,141,194,0,42.4,84.78679142,128,0,35.25,61.91055376,1657.245873,42.25272765,26625.5,73972.50282,209694,75,213004,53251,104826.4112,210488,75,210610,70203.33333,120802.6151,209694,265,0,0,0,0,112,92,23.47373758,18.77899007,0,194,35.3,68.11110205,4639.122222,0,0,0,1,0,0,0,0,0,39.22222222,42.4,35.25,112,0,0,0,0,0,0,5,212,4,141,8192,237,4,20,0,0,0,0,0,0,0,0,Bot
53,32140,4,4,164,380,41,41,41,0,95,95,95,0,16925.94897,248.9110143,4591.428571,9024.679382,23948,1,31916,10638.66667,18385.15636,31868,1,8145,2715,4699.053947,8141,1,0,0,0,0,144,120,124.4555072,124.4555072,41,95,65,28.46049894,810,0,0,0,0,0,0,0,0,1,73.125,41,95,144,0,0,0,0,0,0,4,164,4,380,-1,-1,3,32,0,0,0,0,0,0,0,0,BENIGN
43479,1,2,0,31,0,31,0,15.5,21.92031022,0,0,0,0,31000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,64,0,2000000,0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,0,31,15.5,0,64,0,0,0,0,0,0,2,31,0,0,972,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
51505,0,2,0,20,0,14,6,10,5.656854249,0,0,0,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,0,0,0,6,14,11.33333333,4.618802154,21.33333333,0,1,0,0,1,0,0,0,0,17,10,0,40,0,0,0,0,0,0,2,20,0,0,229,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,269,2,2,60,318,30,30,30,0,159,159,159,0,1405204.461,14869.88848,89.66666667,152.7099647,266,1,1,1,0,1,1,2,2,0,2,2,0,0,0,0,64,64,7434.944238,7434.944238,30,159,81.6,70.65620992,4992.3,0,0,0,0,0,0,0,0,1,102,30,159,64,0,0,0,0,0,0,2,60,2,318,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
1138,0,1,1,0,6,0,0,0,0,6,6,6,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,0,0,0,6,2,3.464101615,12,0,0,0,1,0,0,0,0,1,3,0,6,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0,0,0,0,0,0,0,0,PortScan
80,5898761,3,1,0,0,0,0,0,0,0,0,0,0,0,0.678108504,1966253.667,3405040.71,5898056,145,5898761,2949380.5,4170056.883,5898056,705,0,0,0,0,0,0,0,0,0,104,40,0.508581378,0.169527126,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack � Brute Force
80,5416145,3,1,0,0,0,0,0,0,0,0,0,0,0,0.738532665,1805381.667,3126272.34,5415290,88,5416145,2708072.5,3828583.705,5415290,855,0,0,0,0,0,0,0,0,0,104,40,0.553899499,0.184633166,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack � Brute Force
22,68,1,1,0,0,0,0,0,0,0,0,0,0,0,29411.76471,68,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,14705.88235,14705.88235,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0,0,0,0,0,0,0,0,SSH-Patator
53,519,1,1,48,110,48,48,48,0,110,110,110,0,304431.5992,3853.564547,519,0,519,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1926.782274,1926.782274,48,110,68.66666667,35.79571669,1281.333333,0,0,0,0,0,0,0,0,1,103,48,110,20,0,0,0,0,0,0,1,48,1,110,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
21,259,2,1,14,0,14,0,7,9.899494937,0,0,0,0,54054.05405,11583.01158,129.5,17.67766953,142,117,259,259,0,259,259,0,0,0,0,0,1,0,0,0,64,20,7722.007722,3861.003861,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0,0,0,FTP-Patator
1501,74,1,1,0,6,0,0,0,0,6,6,6,0,81081.08108,27027.02703,74,0,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,13513.51351,13513.51351,0,6,2,3.464101615,12,0,0,0,1,0,0,0,0,1,3,0,6,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0,0,0,0,0,0,0,0,PortScan
80,5069927,4,4,460,1840,460,0,115,230,1840,0,460,920,453.6554471,1.57793199,724275.2857,1885988.001,5000920,4,69007,23002.33333,39060.03203,68102,4,5069799,1689933,2868230.999,5001659,870,0,0,0,0,136,136,0.788965995,0.788965995,0,1840,255.5555556,613.3333333,376177.7778,0,0,0,1,0,0,0,0,1,287.5,115,460,136,0,0,0,0,0,0,4,460,4,1840,29200,235,1,32,0,0,0,0,0,0,0,0,Web Attack � Sql Injection
8080,88582,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,3838.251564,79.02282631,14763.66667,34943.0336,86085,46,88582,29527.33333,50491.80609,87829,46,86703,43351.5,60434.29527,86085,618,0,0,0,0,92,72,45.15590075,33.86692556,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,0,48.57142857,51.5,44.66666667,92,0,0,0,0,0,0,4,206,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
80,5009041,4,4,523,530,523,0,130.75,261.5,530,0,132.5,265,210.2198804,1.597112102,715577.2857,1891319.408,5004686,43,4355,1451.666667,1734.43055,3391,49,5008917,1669639,2888741.337,5005270,883,0,0,0,0,136,136,0.798556051,0.798556051,0,530,117,232.171273,53903.5,0,0,0,1,0,0,0,0,1,131.625,130.75,132.5,136,0,0,0,0,0,0,4,523,4,530,29200,235,1,32,0,0,0,0,0,0,0,0,Web Attack � Sql Injection
11567,35326,20,14,19897,0,1448,0,994.85,630.7562107,0,0,0,0,563239.5403,962.4639076,1070.484848,4998.579749,28131,1,35326,1859.263158,6547.70158,28131,1,28356,2181.230769,7859.131135,28338,1,0,0,0,0,664,464,566.1552398,396.3086678,0,1448,568.4857143,686.9066368,471840.7277,0,0,0,1,0,0,0,0,0,585.2058824,994.85,0,664,0,0,0,0,0,0,20,19897,14,0,65535,362,15,32,0,0,0,0,0,0,0,0,BENIGN
22,11991289,19,31,2008,2745,640,0,105.6842105,143.7671932,976,0,88.5483871,223.315,396.3710657,4.169693517,244720.1837,644971.2309,2564354,4,10400000,575013.2222,961941.855,2637785,336,12000000,399706.1,790280.3224,2564354,4,0,0,0,0,616,1000,1.584483536,2.58520998,0,976,93.19607843,193.9302988,37608.96078,0,0,0,1,0,0,0,0,1,95.06,105.6842105,88.5483871,616,0,0,0,0,0,0,19,2008,31,2745,29200,247,16,32,0,0,0,0,0,0,0,0,SSH-Patator
80,67198,3,4,433,2279,427,0,144.3333333,244.8148961,2267,0,569.75,1131.503535,40358.344,104.169767,11199.66667,16680.77848,32744,5,33595,16797.5,22604.08247,32781,814,34483,11494.33333,19169.55425,33624,5,0,0,0,0,72,92,44.64418584,59.52558112,0,2267,339,793.0373798,628908.2857,0,0,0,1,0,0,0,0,1,387.4285714,144.3333333,569.75,72,0,0,0,0,0,0,3,433,4,2279,8192,237,2,20,0,0,0,0,0,0,0,0,BENIGN
80,1157127,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,10053.34764,6.91367499,165303.8571,436882.0264,1156059,5,776,388,497.803174,740,36,1157113,289278.25,577853.9486,1156059,5,0,0,0,0,72,112,2.592628121,4.321046869,0,10135,1292.555556,3350.634907,11200000,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
9500,43,1,1,0,6,0,0,0,0,6,6,6,0,139534.8837,46511.62791,43,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,23255.81395,23255.81395,0,6,2,3.464101615,12,0,0,0,1,0,0,0,0,1,3,0,6,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0,0,0,0,0,0,0,0,PortScan
80,50322,3,5,1499,465,1499,0,499.6666667,865.4480535,445,0,93,196.9644638,39028.65546,158.9761933,7188.857143,11663.4211,24558,3,24288,12144,16833.38403,24047,241,26392,6598,12231.5252,24916,3,0,0,0,0,72,104,59.61607249,99.36012082,0,1499,218.2222222,502.1002833,252104.6944,0,0,0,1,0,0,0,0,1,245.5,499.6666667,93,72,0,0,0,0,0,0,3,1499,5,465,8192,26241,1,20,0,0,0,0,0,0,0,0,BENIGN
80,86024953,8,6,56,11607,20,0,7,5.656854249,4380,0,1934.5,2177.344966,135.5769413,0.162743477,6617304.077,21700000,78700000,1,85200000,12200000,29400000,78700000,1,776447,155289.4,346743.0967,775562,3,0,0,0,0,172,132,0.092996273,0.069747205,0,4380,777.9333333,1627.46176,2648631.781,0,0,0,0,1,0,0,0,0,833.5,7,1934.5,172,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,998,0,998,998,42600000,51000000,78700000,6570851,DDoS
21,8764349,9,15,109,188,23,0,12.11111111,9.778093429,34,0,12.53333333,14.54975045,33.88728587,2.738366535,381058.6522,994603.6311,3316779,1,5987424,748428,1398149.179,3363316,1,8764129,626009.2143,1228403.904,3316779,1,0,0,0,0,296,488,1.026887451,1.711479084,0,34,11.88,12.70931417,161.5266667,0,0,0,1,0,0,0,0,1,12.375,12.11111111,12.53333333,296,0,0,0,0,0,0,9,109,15,188,29200,227,6,32,0,0,0,0,0,0,0,0,FTP-Patator
443,386712,13,9,841,5082,357,0,64.69230769,116.6143106,1690,0,564.6666667,739.4526692,15316.30774,56.88988188,18414.85714,29632.84364,101794,0,386712,32226,44051.85457,134459,0,351740,43967.5,56018.7853,131132,49,0,0,0,0,428,296,33.61674838,23.27313349,0,1690,257.5217391,519.451185,269829.5336,0,0,0,1,0,0,0,0,0,269.2272727,64.69230769,564.6666667,428,0,0,0,0,0,0,13,841,9,5082,65535,972,6,32,0,0,0,0,0,0,0,0,BENIGN
53,30827,1,1,86,168,86,86,86,0,168,168,168,0,8239.530282,64.8781912,30827,0,30827,30827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,32.4390956,32.4390956,86,168,113.3333333,47.34272207,2241.333333,0,0,0,0,0,0,0,0,1,170,86,168,32,0,0,0,0,0,0,1,86,1,168,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
22,72,1,1,0,0,0,0,0,0,0,0,0,0,0,27777.77778,72,0,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,13888.88889,13888.88889,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0,0,0,0,0,0,0,0,SSH-Patator
53,158,2,2,100,132,50,50,50,0,66,66,66,0,1468354.43,25316.4557,52.66666667,86.02519011,152,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,64,64,12658.22785,12658.22785,50,66,56.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,70.5,50,66,64,0,0,0,0,0,0,2,100,2,132,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
58113,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,32,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
8080,1045315,3,3,0,18,0,0,0,0,6,6,6,0,17.21968976,5.739896586,209063,285441.7198,530586,624,1044623,522311.5,12584.37938,531210,513413,1044661,522330.5,12653.67585,531278,513383,0,0,0,0,92,60,2.869948293,2.869948293,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,0,1,3,0,6,92,0,0,0,0,0,0,3,0,3,18,8192,0,0,28,0,0,0,0,0,0,0,0,Bot
53,160521,2,2,72,286,36,36,36,0,143,143,143,0,2230.237788,24.91885797,53507,92632.678,160470,3,3,3,0,3,3,48,48,0,48,48,0,0,0,0,64,64,12.45942898,12.45942898,36,143,78.8,58.60631365,3434.7,0,0,0,0,0,0,0,0,1,98.5,36,143,64,0,0,0,0,0,0,2,72,2,286,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,48808,2,2,72,162,36,36,36,0,81,81,81,0,4794.296017,81.95377807,16269.33333,28135.15364,48757,3,48,48,0,48,48,3,3,0,3,3,0,0,0,0,64,40,40.97688903,40.97688903,36,81,54,24.64751509,607.5,0,0,0,0,0,0,0,0,1,67.5,36,81,64,0,0,0,0,0,0,2,72,2,162,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,49765,1,1,64,117,64,64,64,0,117,117,117,0,3637.094343,40.18888777,49765,0,49765,49765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20.09444389,20.09444389,64,117,81.66666667,30.59956427,936.3333333,0,0,0,0,0,0,0,0,1,122.5,64,117,20,0,0,0,0,0,0,1,64,1,117,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
80,5625585,3,1,0,0,0,0,0,0,0,0,0,0,0,0.711037163,1875195,3247166.596,5624700,134,5625585,2812792.5,3976637.723,5624700,885,0,0,0,0,0,0,0,0,0,104,40,0.533277872,0.177759291,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack � Brute Force
52913,33,1,1,6,6,6,6,6,0,6,6,6,0,363636.3636,60606.06061,33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,30303.0303,30303.0303,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
22,92,1,1,0,0,0,0,0,0,0,0,0,0,0,21739.13043,92,0,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10869.56522,10869.56522,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0,0,0,0,0,0,0,0,SSH-Patator
80,190,2,0,12,0,6,6,6,0,0,0,0,0,63157.89474,10526.31579,190,0,190,190,190,190,0,190,190,0,0,0,0,0,0,0,0,0,40,0,10526.31579,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,254,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
10628,73,1,1,0,6,0,0,0,0,6,6,6,0,82191.78082,27397.26027,73,0,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,13698.63014,13698.63014,0,6,2,3.464101615,12,0,0,0,1,0,0,0,0,1,3,0,6,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0,0,0,0,0,0,0,0,PortScan
5907,114,1,1,0,6,0,0,0,0,6,6,6,0,52631.57895,17543.85965,114,0,114,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,8771.929825,8771.929825,0,6,2,3.464101615,12,0,0,0,1,0,0,0,0,1,3,0,6,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0,0,0,0,0,0,0,0,PortScan
80,24121,3,5,26,11607,20,0,8.666666667,10.26320288,7300,0,2321.4,3346.363967,482276.8542,331.6612081,3445.857143,8668.116682,23099,3,766,383,362.038672,639,127,24045,6011.25,11397.71235,23099,3,0,0,0,0,72,112,124.372953,207.288255,0,7300,1292.555556,2662.264877,7087654.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
64124,31,1,1,6,6,6,6,6,0,6,6,6,0,387096.7742,64516.12903,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,32258.06452,32258.06452,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,11256,256,0,20,0,0,0,0,0,0,0,0,BENIGN
80,5151601,3,1,0,0,0,0,0,0,0,0,0,0,0,0.776457649,1717200.333,2973664.218,5150892,164,5151601,2575800.5,3641729.324,5150892,709,0,0,0,0,0,0,0,0,0,104,40,0.582343237,0.194114412,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack � Brute Force
667,70,1,1,0,6,0,0,0,0,6,6,6,0,85714.28571,28571.42857,70,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,14285.71429,14285.71429,0,6,2,3.464101615,12,0,0,0,1,0,0,0,0,1,3,0,6,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0,0,0,0,0,0,0,0,PortScan
445,408,6,4,300,288,72,6,50,34.08225345,72,72,72,0,1441176.471,24509.80392,45.33333333,23.18943725,73,2,408,81.6,70.30149358,172,2,230,76.66666667,49.66219219,134,47,1,0,0,0,120,80,14705.88235,9803.921569,6,72,60,26.69831455,712.8,0,1,0,0,1,0,0,0,0,66,50,72,120,0,0,0,0,0,0,6,300,4,288,256,2049,5,20,0,0,0,0,0,0,0,0,BENIGN
53,77662,2,2,80,240,40,40,40,0,120,120,120,0,4120.419253,51.50524066,25887.33333,44833.8465,77657,1,1,1,0,1,1,4,4,0,4,4,0,0,0,0,64,64,25.75262033,25.75262033,40,120,72,43.8178046,1920,0,0,0,0,0,0,0,0,1,90,40,120,64,0,0,0,0,0,0,2,80,2,240,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
444,99651130,15,15,5108,90,1460,6,340.5333333,456.2038809,6,6,6,0,52.16197749,0.301050274,3436245.862,18300000,98500000,3,99700000,7117887.429,26300000,98500000,3,99700000,7117903.286,26300000,98500000,4,1,0,0,0,300,300,0.150525137,0.150525137,6,1460,169.6129032,354.2817784,125515.5785,0,1,0,0,1,0,0,0,1,175.2666667,340.5333333,6,300,0,0,0,0,0,0,15,5108,15,90,255,652,14,20,570315,0,570315,570315,98500000,0,98500000,98500000,Infiltration
80,5009673,4,4,536,1840,536,0,134,268,1840,0,460,920,474.2824532,1.596910617,715667.5714,1891177.443,5004454,48,5219,1739.666667,2216.452421,4249,49,5009544,1669848,2888460.886,5005155,889,0,0,0,0,136,136,0.798455308,0.798455308,0,1840,264,617.0121555,380704,0,0,0,1,0,0,0,0,1,297,134,460,136,0,0,0,0,0,0,4,536,4,1840,29200,235,1,32,0,0,0,0,0,0,0,0,Web Attack � Sql Injection
22,97,1,1,0,0,0,0,0,0,0,0,0,0,0,20618.5567,97,0,97,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10309.27835,10309.27835,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0,0,0,0,0,0,0,0,SSH-Patator
21,8592989,9,15,110,188,24,0,12.22222222,9.972183534,34,0,12.53333333,14.54975045,34.67943459,2.792974598,373608.2174,962043.0951,2998742,3,5550351,693793.875,1266502.651,3023397,4,8592918,613779.8571,1186401.639,2998742,3,0,0,0,0,296,488,1.047365474,1.745609124,0,34,11.92,12.76035527,162.8266667,0,0,0,1,0,0,0,0,1,12.41666667,12.22222222,12.53333333,296,0,0,0,0,0,0,9,110,15,188,29200,227,6,32,0,0,0,0,0,0,0,0,FTP-Patator
